city,county,county_cat
Clipper Mills,Butte,suburban
Cloverdale,Sonoma,suburban
Clovis,Fresno,urban
Clyde,Contra Costa,urban
Coachella,Riverside,urban
Coalinga,Fresno,urban
Coarsegold,Madera,rural
Cobb,Lake,rural
Coffee Creek,Trinity,rural
Cohasset,Butte,suburban
Cold Springs,El Dorado,rural
Cold Springs,Tuolumne,rural
Coleville,Mono,rural
Colfax,Placer,suburban
College,Colusa,rural
Collierville,San Joaquin,urban
Colma,San Mateo,urban
Coloma,El Dorado,rural
Colton,San Bernardino,urban
Columbia,Tuolumne,rural
Colusa,Colusa,rural
Commerce,Los Angeles,urban
Comptche,Mendocino,rural
Compton,Los Angeles,urban
Concord,Contra Costa,urban
Concow,Butte,suburban
Contra Costa Centre,Contra Costa,urban
Copperopolis,Calaveras,rural
Corcoran,Kings,rural
Corning,Tehama,rural
Corona,Riverside,urban
Coronado,San Diego,urban
Coronita,Riverside,urban
Corralitos,Santa Cruz,suburban
Corte Madera,Marin,suburban
Costa Mesa,Orange,urban
Cotati,Sonoma,suburban
Coto de Caza,Orange,urban
Cottonwood,Shasta,suburban
Coultervillle,Mariposa,rural
Country Club,San Joaquin,urban
Courtland,Sacramento,urban
Covelo,Mendocino,rural
Covina,Los Angeles,urban
Cowan,Stanislaus,suburban
Crescent,Del Norte,rural
Crescent Mills,Plumas,rural
Cressey,Merced,suburban
Crest,San Diego,urban
Crestline,San Bernardino,urban
Crestmore Heights,Riverside,urban
Creston,San Luis Obispo,suburban
Crockett,Contra Costa,urban
Cromberg,Plumas,rural
Crowley Lake,Mono,rural
Crows Landing,Stanislaus,suburban
Cudahy,Los Angeles,urban
Culver,Los Angeles,urban
Cupertino,Santa Clara,urban
Cutler,Tulare,suburban
Cutten,Humboldt,rural
Cuyama,Santa Barbara,suburban
Cypress,Orange,urban
Daly,San Mateo,urban
Dana Point,Orange,urban
Danville,Contra Costa,urban
Daphnedale Park,Modoc,rural
Darwin,Inyo,rural
Davenport,Santa Cruz,suburban
Davis,Yolo,suburban
Day Valley,Santa Cruz,suburban
Deer Park,Napa,suburban
Del Aire,Los Angeles,urban
Del Mar,San Diego,urban
Del Monte Forest,Monterey,suburban
Del Rey,Fresno,urban
Del Rey Oaks,Monterey,suburban
Del Rio,Stanislaus,suburban
Delano,Kern,suburban
Delft Colony,Tulare,suburban
Delhi,Merced,suburban
Delleker,Plumas,rural
Denair,Stanislaus,suburban
