rank,city,population
664,Santa Ynez,"4,505"
665,Felton,"4,489"
666,Hidden Meadows,"4,484"
667 TIE,McSwain and Cutler,"4,480"
668 TIE,Ivanhoe and Oasis,"4,468"
669,Portola Valley,"4,456"
670,Broadmoor,"4,411"
671,Emerald Lake Hills,"4,406"
672,Lincoln Village,"4,401"
673,Ford City,"4,348"
674,Vine Hill,"4,323"
675,Lake of the Pines,"4,301"
676,Santa Venetia,"4,289"
677,Armona,"4,274"
678,Phoenix Lake,"4,264"
679,Fetters Hot Springs-Agua Caliente,"4,233"
680,Del Monte Forest,"4,204"
681,Empire,"4,202"
682,Pacheco,"4,183"
683,Desert Edge,"4,180"
684,North Richmond,"4,175"
685,Planada,"4,164"
686,Idyllwild-Pine Cove,"4,163"
687,Coarsegold,"4,144"
688,Morada,"4,054"
689,Harbison Canyon,"4,048"
690,Woodbridge,"4,031"
691,Tarpey Village,"3,997"
692,Bystrom,"3,957"
693,Del Mar,"3,954"
694,West Menlo Park,"3,930"
695,Meiners Oaks,"3,911"
696,El Verano,"3,867"
697,Freedom,"3,835"
698,Pixley,"3,828"
699,Bishop,"3,819"
700,Valley Springs,"3,779"
701,French Camp,"3,770"
702,North El Monte,"3,730"
703,Cambrian Park,"3,719"
704,Wheatland,"3,712"
705,San Joaquin,"3,701"
706 TIE,Weaverville and Angels,"3,667"
707,Bella Vista,"3,641"
708,Brooktrails,"3,632"
709,Lenwood,"3,623"
710,San Miguel,"3,591"
711,North Shore,"3,585"
712,Lake Isabella,"3,573"
713,Esparto,"3,572"
714,Mission Hills,"3,571"
715,Squaw Valley,"3,564"
716,Kings Beach,"3,563"
717,Vandenberg AFB,"3,559"
718,North Lakeport,"3,547"
719,Morongo Valley,"3,514"
720,Humboldt Hill,"3,498"
721,Loyola,"3,491"
722,Arbuckle,"3,484"
723,Monte Sereno,"3,479"
724,Jamestown,"3,478"
725,Riverdale,"3,477"
726 TIE,Avalon and East Richmond Heights,"3,460"
727,Agua Dulce,"3,451"
728,Greenfield,"3,447"
729,San Antonio Heights,"3,441"
730,Yountville,"3,436"
731 TIE,Day Valley and Clearlake Riviera,"3,410"
732,Copperopolis,"3,400"
733,Auburn Lake Trails,"3,388"
734,Kelseyville,"3,382"
735,Rio Dell,"3,379"
736,Lake California,"3,377"
737,Reliez Valley,"3,354"
738,Mountain View Acres,"3,337"
739,Lockeford,"3,333"
740,Santa Rosa Valley,"3,312"
741,Arnold,"3,288"
742,Seacliff,"3,280"
743 TIE,Casa Conejo and Granite Hills,"3,267"
744,Lucerne,"3,266"
745,Forestville,"3,264"
746,Meadow Vista,"3,263"
747,Crockett,"3,242"
748,Auberry,"3,238"
749,Mono Vista,"3,236"
750,South Oroville,"3,235"
751,Parksdale,"3,234"
752 TIE,"Mount Shasta, Cutten, and Kennedy","3,223"
753,Carmel-by-the-Sea,"3,220"
754,Moss Beach,"3,214"
755,Ridgemark,"3,212"
756,East Oakdale,"3,201"
757,Pine Hills,"3,186"
758,San Miguel CDP,"3,172"
759,Hoopa,"3,167"
760,Rancho Santa Fe,"3,156"
761,Nevada City,"3,152"
762,Meadowbrook,"3,142"
763,Stallion Springs,"3,139"
764,Montalvin Manor,"3,099"
765,Anza,"3,075"
766,Borrego Springs,"3,073"
767,Winchester,"3,068"
768,Las Lomas,"3,046"
769,Rollingwood,"3,015"
770,Kelly Ridge,"3,006"
771,Fairbanks Ranch,"3,002"
772,Burney,"3,000"
773,Sutter,"2,997"
774,San Andreas,"2,994"
775,Marin City,"2,993"
776,Lake Nacimiento,"2,956"
777,Campo,"2,955"
778,Palo Cedro,"2,931"
779,Nice,"2,929"
780,Rose Hills,"2,927"
781,Green Acres,"2,918"
782,Terra Bella,"2,910"
783,Pine Grove,"2,891"
784,Pajaro,"2,882"
785,Channel Islands Beach,"2,870"
786,Bonny Doon,"2,868"
787,Weed,"2,862"
788,Montara,"2,833"
789,Strathmore,"2,830"
790,Crest,"2,828"
791,Homestead Valley,"2,789"
792,Dixon Lane-Meadow Creek,"2,780"
793,West Bishop,"2,754"
794,Alturas,"2,715"
795,Aromas,"2,708"
796 TIE,Desert View Highlands and Thermal,"2,676"
797,Sutter Creek,"2,646"
798,Coronita,"2,639"
799 TIE,Amesti and Penngrove,"2,637"
800,Pine Mountain Lake,"2,636"
801,Angwin,"2,633"
802,Cabazon,"2,629"
803,Mountain View,"2,622"
804,Bayview CDP,"2,619"
805,Caruthers,"2,613"
806,Vista Santa Rosa,"2,607"
807,Buckhorn,"2,597"
808,Frazier Park,"2,592"
809,Piru,"2,587"
810,Columbia,"2,577"
811,Clearlake Oaks,"2,551"
812,Mission Canyon,"2,540"
813,La Selva Beach,"2,531"
814,Bertsch-Oceanview,"2,520"
815,Tipton,"2,519"
816,Dogtown,"2,516"
817,Cayucos,"2,505"
818,Lexington Hills,"2,492"
819,East Quincy,"2,463"
820,Janesville,"2,461"
821,Shingletown,"2,442"
822,East Sonora,"2,431"
823,Hartley,"2,430"
824,Pine Mountain Club,"2,422"
825,Sky Valley,"2,411"
826,Loma Rica,"2,409"
827,Sleepy Hollow,"2,401"
828,Val Verde,"2,399"
829,Aptos Hills-Larkin Valley,"2,383"
830,Twain Harte,"2,378"
831 TIE,Lost Hills and Poplar-Cotton Center,"2,370"
832,Richgrove,"2,358"
833,Corralitos,"2,342"
834,Ross,"2,338"
835,Hayfork,"2,324"
836,Parkwood,"2,307"
837,Weldon,"2,303"
838,Ahwahnee,"2,296"
839,Hamilton City,"2,263"
